Data,IPEDS ID,Year,Total Unduplicated Athletes,Number of Sports Teams,NCAA Subdivision,FBS Conference,Total Expenses,Student-Athlete Meals (Non-Travel),Excess Transfers Back,Total Coaching Severance,Other Expenses,Medical,Competition Guarantees - Expenses,Recruiting,Game Expenses and Travel,"Facilities, Debt Service, and Equipment",Coaches Compensation,Non-Coaching Athletics Staff Compensation,Athletic Student Aid,Total Revenues,Other Revenue,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Competition Guarantees - Revenues,"Conference/NCAA Distributions, Media Rights, and Post-Season Football",Ticket Sales,Institutional/Government Support,Student Fees,Total Academic Spending (University-Wide),Total Football Spending,Total Football Coaching Salaries,Athletics Related Debt,"Annual Debt Service, Leases and Rental Fees on Athletic Facilities"
Auburn University,100858,2005,,,Football Bowl Subdivision,Southeastern Conference,"$61,314,114 ",,$0 ,"$351,000 ","$7,503,926 ","$506,357 ","$2,932,268 ","$1,456,760 ","$5,498,654 ","$18,277,064 ","$9,698,471 ","$8,964,665 ","$6,124,949 ","$57,395,152 ","$2,318,811 ","$888,953 ","$22,865,880 ","$825,000 ","$13,671,177 ","$15,842,982 ",$0 ,"$982,349 ","$479,365,619 ","$20,171,530 ","$4,943,375 ","$65,091,371 ","$6,481,219 "
Auburn University,100858,2006,,,Football Bowl Subdivision,Southeastern Conference,"$63,249,119 ",,$0 ,$0 ,"$9,756,981 ","$745,190 ","$2,371,977 ","$1,739,224 ","$5,545,630 ","$17,828,429 ","$10,270,828 ","$8,375,911 ","$6,614,949 ","$66,599,925 ","$4,056,519 ","$1,110,444 ","$26,306,262 ","$825,480 ","$13,279,251 ","$20,099,721 ",$0 ,"$922,248 ","$477,263,083 ","$18,197,817 ","$5,150,724 ","$61,524,429 ","$7,077,817 "
Auburn University,100858,2007,,,Football Bowl Subdivision,Southeastern Conference,"$68,910,465 ",,$0 ,$0 ,"$10,970,634 ","$726,098 ","$3,675,436 ","$1,375,569 ","$6,207,463 ","$18,251,599 ","$10,905,708 ","$10,203,508 ","$6,594,450 ","$81,799,266 ","$6,244,230 ","$977,585 ","$31,715,011 ",$0 ,"$16,118,134 ","$21,796,102 ",$0 ,"$4,948,204 ","$538,383,661 ","$22,953,259 ","$5,447,556 ","$58,846,526 ","$7,117,222 "
Auburn University,100858,2008,,,Football Bowl Subdivision,Southeastern Conference,"$69,841,200 ",,$0 ,"$325,000 ","$10,183,626 ","$649,485 ","$2,667,720 ","$1,452,521 ","$6,388,877 ","$18,893,353 ","$11,330,594 ","$10,808,408 ","$7,141,616 ","$89,311,824 ","$4,145,060 ","$6,079,271 ","$34,897,688 ","$106,289 ","$16,896,757 ","$21,991,623 ",$0 ,"$5,195,136 ","$601,271,341 ","$23,177,807 ","$5,633,433 ","$54,029,086 ","$7,256,759 "
Auburn University,100858,2009,,,Football Bowl Subdivision,Southeastern Conference,"$85,480,343 ",,$0 ,"$6,494,472 ","$13,165,205 ","$644,218 ","$2,249,391 ","$1,585,843 ","$6,614,035 ","$23,708,801 ","$11,930,855 ","$11,532,601 ","$7,554,922 ","$87,001,413 ","$4,852,820 ","$3,396,585 ","$32,080,789 ","$380,000 ","$17,548,051 ","$23,514,179 ",$0 ,"$5,228,989 ","$612,781,006 ","$28,801,870 ","$5,421,906 ","$115,759,125 ","$9,555,329 "
Auburn University,100858,2010,,,Football Bowl Subdivision,Southeastern Conference,"$90,908,902 ",,$0 ,"$1,822,300 ","$16,170,065 ","$679,440 ","$2,811,697 ","$1,671,581 ","$7,261,953 ","$24,620,038 ","$13,928,324 ","$13,145,766 ","$8,797,738 ","$92,611,558 ","$5,414,262 ","$3,188,793 ","$29,731,122 ",$0 ,"$24,283,643 ","$24,732,134 ",$0 ,"$5,261,604 ","$596,474,474 ","$27,911,717 ","$6,526,340 ","$109,977,105 ","$11,434,357 "
Auburn University,100858,2011,,,Football Bowl Subdivision,Southeastern Conference,"$100,497,784 ",,$0 ,$0 ,"$13,582,509 ","$852,477 ","$4,319,311 ","$2,132,892 ","$8,859,213 ","$26,684,851 ","$19,795,958 ","$14,536,962 ","$9,733,611 ","$103,982,441 ","$5,379,015 ","$5,154,986 ","$32,849,477 ","$34,900 ","$27,280,293 ","$28,976,730 ",$0 ,"$4,307,040 ","$645,959,466 ","$39,069,675 ","$11,362,515 ","$106,073,955 ","$10,086,000 "
Auburn University,100858,2012,,,Football Bowl Subdivision,Southeastern Conference,"$96,315,831 ",,$0 ,"$325,000 ","$13,291,253 ","$600,138 ","$3,094,394 ","$2,544,910 ","$7,522,375 ","$25,397,819 ","$17,670,721 ","$15,879,845 ","$9,989,376 ","$105,951,251 ","$3,928,998 ","$6,886,435 ","$33,467,775 ","$1,033,075 ","$27,177,108 ","$29,241,252 ",$0 ,"$4,216,608 ","$654,382,636 ",$0 ,$0 ,"$79,199,650 ","$8,929,601 "
Auburn University,100858,2013,,,Football Bowl Subdivision,Southeastern Conference,"$103,126,413 ",,$0 ,"$2,672,664 ","$15,613,258 ","$997,064 ","$3,190,150 ","$2,796,184 ","$7,698,941 ","$25,064,326 ","$16,899,520 ","$17,788,400 ","$10,405,906 ","$103,680,609 ","$4,358,754 ","$5,217,605 ","$31,832,026 ","$2,350,218 ","$27,111,863 ","$28,494,559 ",$0 ,"$4,315,584 ","$666,923,747 ","$36,306,282 ","$8,635,501 ","$108,778,201 ","$9,973,080 "
Auburn University,100858,2014,,,Football Bowl Subdivision,Southeastern Conference,"$126,470,602 ",,$0 ,"$4,846,662 ","$18,416,524 ","$1,034,511 ","$5,109,199 ","$2,709,528 ","$11,203,454 ","$30,863,140 ","$20,371,279 ","$19,911,702 ","$12,004,603 ","$113,716,004 ","$5,006,958 ","$5,275,554 ","$39,409,078 ","$38,000 ","$29,768,173 ","$29,833,441 ",$0 ,"$4,384,800 ","$694,962,727 ","$49,639,258 ","$10,470,552 ","$109,408,700 ","$10,880,487 "
Auburn University,100858,2015,,,Football Bowl Subdivision,Southeastern Conference,"$115,498,047 ",,$0 ,"$4,652,158 ","$14,122,215 ","$880,528 ","$3,766,335 ","$2,410,161 ","$8,374,185 ","$23,976,880 ","$21,120,891 ","$21,249,298 ","$14,945,396 ","$124,657,247 ","$8,342,361 ","$6,062,826 ","$37,004,887 ","$458,000 ","$38,313,963 ","$30,181,317 ",$0 ,"$4,293,893 ","$713,358,897 ","$39,577,350 ","$11,215,470 ","$100,185,273 ","$10,881,428 "
Auburn University,100858,2016,,,Football Bowl Subdivision,Southeastern Conference,"$124,864,399 ","$1,508,735 ",$0 ,"$3,326,578 ","$15,388,008 ","$995,101 ","$3,647,170 ","$2,257,968 ","$9,595,853 ","$26,955,002 ","$22,553,348 ","$23,077,255 ","$15,559,381 ","$140,070,593 ","$9,898,413 ","$6,196,360 ","$35,720,710 ","$3,240,000 ","$47,411,352 ","$32,165,386 ","$438,321 ","$5,000,051 ","$644,384,774 ","$41,896,340 ","$11,843,789 ","$95,854,212 ","$11,166,113 "
