,Name,Data Type,Percent Missing,Variable Type,Mode,Mode Percentage,Minimum,Maximum,Median
0,Season,int64,0.0,Ordinal/Numeric,2025,4.377630787733013,2002,2025,2014.0
1,Short Conference Name,object,0.0,Nominal,A10,3.9927841250751652,,,
2,Adjusted Tempo,float64,0.0,Ordinal/Numeric,66.2,1.58749248346362,51.6,89.7,66.5
3,Adjusted Tempo Rank,int64,0.0,Ordinal/Numeric,222,0.30066145520144316,1,364,174.0
4,Raw Tempo,float64,0.0,Ordinal/Numeric,67.2,1.4792543595911005,0.0,90.6,67.8
5,Raw Tempo Rank,int64,0.0,Ordinal/Numeric,191,0.30066145520144316,1,364,174.0
6,Adjusted Offensive Efficiency,float64,0.0,Ordinal/Numeric,102.1,0.6975345760673481,71.5,130.1,103.6
7,Adjusted Offensive Efficiency Rank,int64,0.0,Ordinal/Numeric,71,0.30066145520144316,1,364,174.0
8,Raw Offensive Efficiency,float64,0.0,Ordinal/Numeric,102.5,0.79374624173181,0.0,125.0,102.2
9,Raw Offensive Efficiency Rank,int64,0.0,Ordinal/Numeric,67,0.30066145520144316,1,364,174.0
10,Adjusted Defensive Efficiency,float64,0.0,Ordinal/Numeric,104.7,0.7215874924834637,84.1,125.0,103.9
11,Adjusted Defensive Efficiency Rank,int64,0.0,Ordinal/Numeric,303,0.30066145520144316,1,364,174.0
12,Raw Defensive Efficiency,float64,0.0,Ordinal/Numeric,104.0,0.9260372820204451,84.3,200.0,102.5
13,Raw Defensive Efficiency Rank,int64,0.0,Ordinal/Numeric,1,0.28863499699338546,1,364,174.0
14,eFGPct,float64,0.0,Ordinal/Numeric,50.0,0.396873120865905,0.0,61.0178117048346,49.626
15,RankeFGPct,int64,0.0,Ordinal/Numeric,134,0.34876728803367407,1,364,174.0
16,TOPct,float64,0.0,Ordinal/Numeric,100.0,0.12026458208057728,11.9,100.0,19.4948
17,RankTOPct,int64,0.0,Ordinal/Numeric,160,0.30066145520144316,1,364,174.0
18,ORPct,float64,0.0,Ordinal/Numeric,33.3333,0.16837041491280816,0.0,45.2567,31.1406
19,RankORPct,int64,0.0,Ordinal/Numeric,252,0.3126879134095009,1,364,174.0
20,FTRate,float64,0.0,Ordinal/Numeric,33.3333,0.16837041491280816,0.0,58.5859,35.2479
21,RankFTRate,int64,0.0,Ordinal/Numeric,241,0.3126879134095009,1,364,174.0
22,OffFT,float64,0.0,Ordinal/Numeric,0.0,0.12026458208057728,0.0,32.2823,19.8961
23,RankOffFT,int64,0.0,Ordinal/Numeric,23,0.30066145520144316,1,364,174.0
24,Off2PtFG,float64,0.0,Ordinal/Numeric,50.0,0.26458208057727,0.0,70.1396,51.1041009463722
25,RankOff2PtFG,int64,0.0,Ordinal/Numeric,201,0.3247143716175586,1,364,174.0
26,Off3PtFG,float64,0.0,Ordinal/Numeric,0.0,0.12026458208057728,0.0,47.5707,28.8372
27,RankOff3PtFG,int64,0.0,Ordinal/Numeric,38,0.3126879134095009,1,364,174.0
28,DefFT,float64,0.0,Ordinal/Numeric,0.0,0.12026458208057728,0.0,31.8676,19.8449612403101
29,RankDefFT,int64,0.0,Ordinal/Numeric,105,0.30066145520144316,1,364,174.0
30,Def2PtFG,float64,0.0,Ordinal/Numeric,50.0,0.2285027059530968,0.0,67.0967741935484,51.1082138200782
31,RankDef2PtFG,int64,0.0,Ordinal/Numeric,155,0.3367408298256163,1,364,174.0
32,Def3PtFG,float64,0.0,Ordinal/Numeric,0.0,0.12026458208057728,0.0,51.6293279022403,28.9009497964722
33,RankDef3PtFG,int64,0.0,Ordinal/Numeric,46,0.3126879134095009,1,364,174.0
34,FG2Pct,float64,0.0,Ordinal/Numeric,50.0,0.6253758268190018,0.0,63.8994668697639,48.7197
35,RankFG2Pct,int64,0.0,Ordinal/Numeric,78,0.3367408298256163,1,364,174.0
36,FG3Pct,float64,0.0,Ordinal/Numeric,33.3333,0.6013229104028863,0.0,45.0602,34.1650671785029
37,RankFG3Pct,int64,0.0,Ordinal/Numeric,207,0.3728202044497895,1,364,174.0
38,FTPct,float64,0.0,Ordinal/Numeric,66.6667,0.25255562236921225,0.0,82.992125984252,70.0696
39,RankFTPct,int64,0.0,Ordinal/Numeric,80,0.3367408298256163,1,364,174.0
40,BlockPct,float64,0.0,Ordinal/Numeric,10.0,0.132291040288635,0.0,21.0077519379845,8.7282
41,RankBlockPct,int64,0.0,Ordinal/Numeric,173,0.3247143716175586,1,364,174.0
42,OppFG2Pct,float64,0.0,Ordinal/Numeric,50.0,0.6734816596512326,37.6702,100.0,48.9201
43,RankOppFG2Pct,int64,0.0,Ordinal/Numeric,240,0.34876728803367407,1,364,174.0
44,OppFG3Pct,float64,0.0,Ordinal/Numeric,33.3333,0.5051112447384245,25.2669,100.0,34.3387
45,RankOppFG3Pct,int64,0.0,Ordinal/Numeric,142,0.3607937462417318,1,364,174.0
46,OppFTPct,float64,0.0,Ordinal/Numeric,66.6667,0.28863499699338546,59.7074,100.0,70.0564971751412
47,RankOppFTPct,int64,0.0,Ordinal/Numeric,114,0.3367408298256163,1,364,174.0
48,OppBlockPct,float64,0.0,Ordinal/Numeric,10.0,0.16837041491280816,4.04669260700389,100.0,9.0286
49,RankOppBlockPct,int64,0.0,Ordinal/Numeric,206,0.3247143716175586,1,364,174.0
