unitid,peo1istr,peo2istr,peo3istr,peo4istr,peo5istr,peo6istr,cntlaffi,pubprime,pubsecon,relaffil,level1,level2,level3,level4,level5,level6,level7,level8,level9,level10,level11,level12,fopna,fopna1,fopna2,accrd1,accrd2,regaccrd,accrd3,accrd4,saccr,openadmp,admcon1,admcon2,admcon3,admcon4,admcon5,admcon6,admcon7,admcon8,appdate,"xapplcnm",applcnm,"xapplcnw",applcnw,"xadmssnm",admssnm,"xadmssnw",admssnw,"xenrlftm",enrlftm,"xenrlftw",enrlftw,"xenrlptm",enrlptm,"xenrlptw",enrlptw,satactdt,"xsatnum",satnum,"xsatpct",satpct,"xactnum",actnum,"xactpct",actpct,"xsatvr25",satvr25,"xsatvr75",satvr75,"xsatmt25",satmt25,"xsatmt75",satmt75,"xactcm25",actcm25,"xactcm75",actcm75,"xacten25",acten25,"xacten75",acten75,"xactmt25",actmt25,"xactmt75",actmt75,credits1,credits2,credits3,credits4,slo1,slo2,slo3,slo4,slo5,slo51,slo52,slo53,slo6,slo7,slo8,slo81,slo82,slo83,slo9,yrscoll,stusrv1,stusrv2,stusrv3,stusrv4,stusrv8,stusrv9,libfac,athassoc,assoc1,assoc2,assoc3,assoc4,assoc5,assoc6,sport1,confno1,sport2,confno2,sport3,confno3,sport4,confno4,insttoyr,pctpost,calsys,apfee,"xappfeeu",applfeeu,"xappfeeg",applfeeg,"xappfeep",applfeep,ftstu,ft_ug,ft_ftug,ft_gd,ft_fp,ptstu,pt_ug,pt_ftug,pt_gd,tuitvary,room,"xroomcap",roomcap,board,"xmealswk",mealswk,"xroomamt",roomamt,"xbordamt",boardamt,"xrmbdamt",rmbrdamt,"xenrlm",enrlm,"xenrlw",enrlw,"xenrlt",enrlt,"xapplcn",applcn,"xadmssn",admssn,"xenrlft",enrlft,"xenrlpt",enrlpt
100636,-1,-1,-1,-1,-1,-1,1,1,9,-2,0,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,-1,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,1,-1,"B",,"B",,"B",,1,1,1,1,2,1,1,1,2,-1,-1,"B",,-1,"B",,"B",,"B",,"B",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
100654,1,1,1,1,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,1,0,0,0,2,-2,-2,1,1,8,1,0,1,2,1,3,1,2,3,2,1,1,2,"R",2026,"R",2650,"R",1171,"R",1436,"R",611,"R",609,"R",54,"R",151,2,"R",112,"R",10,"R",1013,"R",90,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,133,-2,-2,1,1,"R",10,"R",25,"A",,1,1,1,1,2,1,1,1,1,1,1,"R",2683,1,"R",21,"R",2600,"R",1900,"A",,"R",665,"R",760,"R",1425,"R",4676,"R",2607,"R",1220,"R",205
100663,0,1,1,0,0,0,1,2,0,-2,0,1,0,0,1,1,1,1,1,1,0,0,2,-2,-2,1,1,8,1,0,1,2,1,3,1,2,3,3,1,3,2,"R",1387,"R",2145,"R",1246,"R",1974,"R",581,"R",822,"R",31,"R",37,2,"R",111,"R",7,"R",1275,"R",86,"A",,"A",,"A",,"A",,"R",19,"R",25,"R",19,"R",25,"R",17,"R",24,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,111,1,111,1,111,1,111,-2,-2,1,1,"R",25,"R",35,"R",65,1,1,1,1,1,1,1,1,1,1,1,"R",1949,3,"A",,"R",2734,"A",,"A",,"R",612,"R",859,"R",1471,"R",3532,"R",3220,"R",1403,"R",68
100690,0,1,1,0,0,0,4,-2,-2,74,0,1,0,1,1,0,1,0,1,1,0,0,2,-2,-2,0,1,8,1,0,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,-2,1,1,"R",50,"R",50,"R",50,1,1,1,1,1,1,1,1,1,2,2,"A",,3,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
100706,0,1,1,1,0,0,1,2,0,-2,0,0,0,0,1,1,1,1,1,0,0,0,2,-2,-2,1,1,8,0,0,1,2,1,3,1,2,3,3,1,1,2,"R",782,"R",755,"R",722,"R",669,"R",338,"R",272,"R",6,"R",12,2,"R",195,"R",31,"R",574,"R",91,"R",500,"R",630,"R",510,"R",640,"R",22,"R",27,"R",21,"R",28,"R",21,"R",27,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,2,-2,1,146,1,146,1,146,-2,-2,1,1,"R",20,"R",35,"A",,1,1,1,1,2,1,1,1,1,1,1,"R",995,2,"A",,"R",3300,"R",2880,"A",,"R",344,"R",284,"R",628,"R",1537,"R",1391,"R",610,"R",18
100724,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,8,1,0,1,2,1,3,1,2,2,3,1,1,1,"R",2806,"R",3430,"R",1945,"R",2377,"R",562,"R",700,"R",9,"R",9,1,"R",232,"R",18,"R",1081,"R",84,"R",340,"R",460,"R",340,"R",460,"R",14,"R",18,"A",,"A",,"A",,"A",,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,133,-2,-2,1,1,"R",0,"R",10,"R",0,1,1,1,1,2,1,1,1,1,1,1,"R",2330,1,"R",19,"A",,"A",,"R",3500,"R",571,"R",709,"R",1280,"R",6236,"R",4322,"R",1262,"R",18
100733,1,1,1,1,1,0,1,2,0,-2,1,1,1,0,1,1,1,1,1,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",,"A",,"A",,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",,-2,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
100751,1,1,1,0,1,1,1,2,0,-2,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,8,1,0,1,2,1,2,1,1,3,3,1,1,2,"R",3301,"R",4021,"R",2751,"R",3445,"R",1179,"R",1455,"R",9,"R",12,2,"R",833,"R",31,"R",2366,"R",89,"R",490,"R",620,"R",490,"R",620,"R",21,"R",26,"R",21,"R",28,"R",19,"R",26,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130,-2,-2,1,1,"R",25,"R",25,"R",25,1,1,1,1,1,1,1,1,1,1,1,"R",4700,2,"A",,"R",2676,"R",1775,"A",,"R",1188,"R",1467,"R",2655,"R",7322,"R",6196,"R",2634,"R",21
100760,1,1,0,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,2,-2,-2,1,1,8,0,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,-2,1,2,"A",,"A",,"A",,1,1,1,2,2,1,1,1,2,1,2,"A",,3,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
100812,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,2,-2,-2,1,1,8,0,0,1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,1,1,0,0,1,1,0,1,0,0,0,0,2,-2,1,335,2,-2,2,-2,-2,-2,1,1,"R",30,"A",,"A",,1,1,2,2,2,1,1,2,2,1,1,"R",141,3,"A",,"R",900,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
