UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL9,LEVEL10,LEVEL11,LEVEL12,ACCRD1,ACCRD2,REGACCRD,ACCRD3,ACCRD4,SACCR,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO1,SLO2,SLO3,SLO4,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,INSTTOYR,PCTPOST,CALSYS,APFEE,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,XAPPFEEP,APPLFEEP,FT_UG,FT_FTUG,FT_GD,FT_FP,PT_UG,PT_FTUG,PT_GD,PT_FP,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT  
100654,1,1,1,1,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,1,0,0,0,1,1,8,1,0,1,2,1,2,1,2,3,2,1,1,1,"R",2532,"R",3665,"R",1233,"R",1711,"R",597,"R",648,"R",6,"R",8,1,"B",.,"B",.,"R",1167,"R",94,"B",.,"B",.,"B",.,"B",.,"R",16,"R",19,"R",14,"R",20,"R",15,"R",18,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,133,-2,-2,1,1,"R",10,"R",25,"A",.,1,1,1,2,1,1,1,2,1,1,"R",2931,1,"R",21,"R",2756,"R",2014,"A",.,2,"R",603,"R",656,"R",1259,"R",6197,"R",2944,"R",1245,"R",14
100663,0,1,1,0,0,0,1,2,0,-2,0,1,0,0,1,1,1,1,1,1,0,0,1,1,8,1,0,1,2,1,3,1,2,3,3,1,3,2,"R",1782,"R",2536,"R",1484,"R",2226,"R",567,"R",976,"R",38,"R",47,2,"R",142,"R",9,"R",1413,"R",87,"R",480,"R",620,"R",480,"R",640,"R",19,"R",25,"R",19,"R",23,"R",18,"R",24,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,111,1,111,1,111,1,111,-2,-2,1,1,"R",25,"R",35,"R",70,1,1,1,1,1,1,1,2,1,1,"R",1650,3,"A",.,"R",3390,"A",.,"A",.,2,"R",605,"R",1023,"R",1628,"R",4318,"R",3710,"R",1543,"R",85
100690,0,1,1,0,0,0,4,-2,-2,74,0,0,0,1,1,0,1,0,1,1,0,0,0,1,8,1,0,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,-2,1,1,"R",50,"R",50,"R",50,1,1,1,1,1,2,1,1,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100706,0,1,1,1,0,0,1,2,0,-2,0,0,0,0,1,1,1,1,1,0,0,0,1,1,8,1,0,1,2,1,3,1,2,3,3,1,1,2,"R",867,"R",876,"R",795,"R",764,"R",352,"R",302,"R",18,"R",9,2,"R",164,"R",24,"R",614,"R",90,"R",520,"R",638,"R",530,"R",640,"R",22,"R",27,"R",21,"R",28,"R",21,"R",27,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,2,-2,1,146,1,146,1,146,-2,-2,1,1,"R",30,"R",35,"A",.,1,1,1,2,1,1,1,2,1,1,"R",1042,2,"A",.,"R",3600,"R",2880,"A",.,2,"R",370,"R",311,"R",681,"R",1743,"R",1559,"R",654,"R",27
100724,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,1,0,0,0,1,1,8,1,0,1,2,1,3,1,2,3,3,1,1,1,"R",4298,"R",7164,"R",1868,"R",3911,"R",538,"R",649,"R",36,"R",26,1,"R",212,"R",17,"R",936,"R",75,"R",350,"R",457,"R",340,"R",447,"R",14,"R",18,"R",12,"R",18,"R",12,"R",20,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,133,-2,-2,1,1,"R",0,"R",10,"A",.,1,1,1,2,1,1,1,2,1,1,"R",2380,1,"R",19,"A",.,"A",.,"R",3600,2,"R",574,"R",675,"R",1249,"R",11462,"R",5779,"R",1187,"R",62
100733,1,1,1,1,1,0,1,2,0,-2,1,1,1,0,1,1,1,1,1,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100751,1,1,1,1,1,1,1,2,0,-2,0,0,0,1,1,1,1,1,1,1,0,0,1,1,8,1,0,1,2,1,2,1,2,3,3,1,1,2,"R",4033,"R",5073,"R",3023,"R",3998,"R",1470,"R",1876,"R",11,"R",11,2,"R",422,"R",13,"R",2927,"R",87,"R",490,"R",600,"R",500,"R",600,"R",21,"R",26,"R",21,"R",28,"R",19,"R",26,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130,-2,-2,1,1,"R",25,"R",25,"R",35,1,1,1,1,1,1,1,1,1,1,"R",4511,2,"A",.,"R",2982,"R",1752,"A",.,2,"R",1481,"R",1887,"R",3368,"R",9106,"R",7021,"R",3346,"R",22
100760,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,8,0,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,-2,1,2,"A",.,"A",.,"A",.,1,1,2,-2,1,1,2,-2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100812,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,8,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,-2,1,1,"R",30,"A",.,"A",.,1,2,2,2,1,2,2,2,1,1,"R",72,3,"A",.,"R",900,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100830,0,1,1,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,1,0,0,0,1,1,8,1,0,1,2,1,3,1,2,1,3,1,1,2,"R",448,"R",505,"R",439,"R",495,"R",255,"R",410,"R",162,"R",60,2,"B",.,"B",.,"R",609,"R",80,"B",.,"B",.,"B",.,"B",.,"R",17,"R",24,"R",17,"R",24,"R",16,"R",21,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,-2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,2,-2,1,334,1,334,2,-2,-2,-2,1,1,"R",25,"R",25,"A",.,1,1,1,2,1,1,1,2,1,1,"R",952,2,"A",.,"R",2560,"R",2890,"A",.,2,"R",417,"R",470,"R",887,"R",953,"R",934,"R",665,"R",222
