UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL9,LEVEL10,LEVEL11,LEVEL12,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO3,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,PCTPOST,CALSYS,APFEE,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,XAPPFEEP,APPLFEEP,FT_UG,FT_FTUG,FT_GD,FT_FP,PT_UG,PT_FTUG,PT_GD,PT_FP,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT  
100636,1,1,0,0,0,0,1,1,0,-2,1,0,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,0,1,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,4,1,2,"A",.,"A",.,"A",.,1,1,2,-2,1,1,2,-2,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100654,1,1,1,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,1,0,0,0,2,1,2,1,2,3,2,1,1,3,2,"R",3115,"R",4742,"R",1384,"R",1915,"R",516,"R",572,"R",4,"R",7,2,"B",.,"B",.,"R",1051,"R",97,"B",.,"B",.,"B",.,"B",.,"R",16,"R",20,"R",15,"R",20,"R",15,"R",18,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,133,-2,1,1,"R",10,"R",40,"A",.,1,1,1,2,1,1,1,2,1,1,"R",2931,1,"R",21,"R",2756,"R",2014,"A",.,2,"R",520,"R",579,"R",1099,"R",7857,"R",3299,"R",1088,"R",11
100663,0,1,1,0,0,0,1,2,0,-2,0,1,0,0,1,1,1,1,1,1,0,0,2,1,3,1,2,3,3,1,3,-1,2,"R",1774,"R",2481,"R",1554,"R",2177,"R",628,"R",905,"R",30,"R",24,2,"R",166,"R",11,"R",1376,"R",87,"R",500,"R",620,"R",500,"R",640,"R",20,"R",26,"R",20,"R",27,"R",18,"R",24,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,111,1,111,1,111,1,111,-2,1,1,"R",25,"R",35,"R",70,1,1,1,1,1,1,1,2,1,1,"R",1650,2,"A",.,"R",3650,"R",1100,"A",.,2,"R",658,"R",929,"R",1587,"R",4255,"R",3731,"R",1533,"R",54
100690,0,1,1,0,0,0,4,-2,-2,74,0,0,0,0,1,0,1,0,1,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,1,"R",50,"R",50,"R",50,1,1,1,1,1,1,1,1,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100706,0,1,1,1,0,0,1,2,0,-2,0,0,0,0,1,1,1,1,1,0,0,0,2,1,3,1,2,3,3,1,1,3,2,"R",843,"R",855,"R",745,"R",735,"R",344,"R",284,"R",18,"R",14,2,"R",180,"R",27,"R",580,"R",88,"R",520,"R",630,"R",510,"R",650,"R",22,"R",28,"R",22,"R",29,"R",20,"R",27,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,2,-2,1,146,1,146,1,146,-2,1,1,"R",30,"R",40,"A",.,1,1,1,2,1,1,1,2,1,1,"R",1297,2,"A",.,"R",3720,"R",2880,"A",.,2,"R",362,"R",298,"R",660,"R",1698,"R",1480,"R",628,"R",32
100724,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,1,0,0,0,2,1,3,1,2,3,3,1,1,-1,1,"B",.,"B",.,"B",.,"B",.,"B",.,"B",.,"B",.,"B",.,1,"R",221,"R",19,"R",794,"R",68,"R",330,"R",440,"R",310,"R",440,"R",13,"R",18,"R",12,"R",18,"R",13,"R",16,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,133,-2,1,1,"R",0,"R",10,"A",.,1,1,1,2,1,1,1,2,1,1,"R",2249,1,"R",19,"R",2180,"R",1420,"A",.,2,"B",.,"B",.,"R",1163,"R",8827,"R",4476,"R",1139,"R",24
100733,1,1,1,1,1,0,1,2,0,-2,1,1,1,0,1,1,1,1,1,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100751,1,1,1,1,1,1,1,2,0,-2,0,0,0,1,1,1,1,1,1,1,0,0,2,1,2,1,2,3,3,1,1,3,2,"R",4543,"R",5929,"R",3349,"R",4387,"R",1643,"R",2066,"R",13,"R",17,2,"R",1292,"R",34,"R",3223,"R",86,"R",500,"R",630,"R",500,"R",630,"R",20,"R",26,"R",21,"R",28,"R",19,"R",26,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130,-2,1,1,"R",30,"R",25,"R",35,1,1,1,1,1,1,1,1,1,1,"R",4613,2,"A",.,"R",3120,"R",1904,"A",.,2,"R",1656,"R",2083,"R",3739,"R",10555,"R",7776,"R",3709,"R",30
100760,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,2,"A",.,"A",.,"A",.,1,1,2,-2,1,1,2,-2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100812,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,1,"R",30,"A",.,"A",.,1,2,2,2,1,2,2,2,1,1,"R",82,3,"A",.,"R",1100,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
