UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 
100654,1,2,1,2,3,2,5,1,3,"R",6560,"R",2209,"R",4345,"R",4697,"R",1599,"R",3092,"R",1534,"R",647,"R",885,"R",1459,"R",623,"R",834,"R",75,"R",24,"R",51,"R",287,"R",19,"R",970,"R",63,"R",430,"R",520,"R",410,"R",510,"R",15,"R",20,"R",14,"R",20,"R",15,"R",18
100663,1,3,1,1,3,3,5,3,3,"R",11906,"R",4139,"R",7767,"R",10541,"R",3501,"R",7040,"R",2415,"R",835,"R",1580,"R",2361,"R",816,"R",1545,"R",54,"R",19,"R",35,"R",166,"R",7,"R",1565,"R",65,"R",593,"R",680,"R",580,"R",708,"R",23,"R",30,"R",23,"R",33,"R",21,"R",28
100706,1,2,1,3,3,2,1,1,3,"R",5781,"R",2850,"R",2931,"R",4259,"R",2301,"R",1958,"R",1204,"R",778,"R",426,"R",1191,"R",772,"R",419,"R",13,"R",6,"R",7,"R",65,"R",5,"R",1108,"R",92,"R",580,"R",700,"R",590,"R",720,"R",24,"R",31,"R",24,"R",32,"R",23,"R",29
100724,1,3,2,3,3,3,5,1,3,"R",5974,"R",1745,"R",4142,"R",5854,"R",1695,"R",4072,"R",890,"R",300,"R",590,"R",797,"R",254,"R",543,"R",93,"R",46,"R",47,"R",132,"R",15,"R",313,"R",35,"R",442,"R",534,"R",397,"R",516,"R",15,"R",20,"R",12,"R",22,"R",15,"R",19
100751,1,2,1,1,3,3,5,1,3,"R",42421,"R",15567,"R",26854,"R",33472,"R",12338,"R",21134,"R",7593,"R",3221,"R",4372,"R",7540,"R",3206,"R",4334,"R",53,"R",15,"R",38,"R",1302,"R",17,"R",4795,"R",63,"R",540,"R",680,"R",530,"R",690,"R",21,"R",31,"R",21,"R",33,"R",19,"R",28
100830,1,2,1,3,3,3,1,1,3,"R",3405,"R",1128,"R",2277,"R",3296,"R",1080,"R",2216,"R",539,"R",191,"R",348,"R",517,"R",181,"R",336,"R",22,"R",10,"R",12,"R",23,"R",4,"R",429,"R",80,"R",480,"R",595,"R",470,"R",565,"R",17,"R",24,"R",16,"R",24,"R",16,"R",22
100858,1,2,1,1,2,3,2,1,3,"R",27619,"R",11598,"R",16021,"R",19660,"R",8015,"R",11645,"R",5311,"R",2423,"R",2888,"R",5254,"R",2384,"R",2870,"R",57,"R",39,"R",18,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100937,1,5,5,2,5,5,5,5,3,"R",2461,"R",1105,"R",1356,"R",1622,"R",724,"R",898,"R",244,"R",123,"R",121,"R",244,"R",123,"R",121,"A",,"A",,"A",,"R",17,"R",7,"R",132,"R",54,"R",550,"R",610,"R",540,"R",630,"R",22,"R",28,"R",22,"R",30,"R",19,"R",26
101189,1,2,1,3,3,3,5,2,3,"R",1791,"R",773,"R",1018,"R",1157,"R",482,"R",675,"R",233,"R",129,"R",104,"R",217,"R",122,"R",95,"R",16,"R",7,"R",9,"R",29,"R",12,"R",138,"R",59,"R",500,"R",600,"R",490,"R",605,"R",16,"R",23,"R",16,"R",23,"R",16,"R",22
101365,2,3,2,3,3,3,3,2,1,"R",179,"R",62,"R",117,"R",168,"R",58,"R",110,"R",116,"R",40,"R",76,"R",32,"R",7,"R",25,"R",84,"R",33,"R",51,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101435,1,2,1,2,2,2,5,1,3,"R",2404,"R",1405,"R",999,"R",1666,"R",971,"R",695,"R",253,"R",154,"R",99,"R",253,"R",154,"R",99,"A",,"A",,"A",,"R",17,"R",7,"R",157,"R",62,"R",510,"R",560,"R",470,"R",510,"R",19,"R",25,"R",20,"R",25,"R",17,"R",24
101480,1,3,1,3,3,3,5,1,3,"R",10483,"R",3634,"R",6849,"R",8003,"R",2763,"R",5240,"R",1818,"R",695,"R",1123,"R",1782,"R",682,"R",1100,"R",36,"R",13,"R",23,"R",4,"R",1,"R",1298,"R",71,"R",490,"R",580,"R",520,"R",660,"R",16,"R",23,"R",15,"R",23,"R",15,"R",21
101587,2,3,1,2,3,3,1,1,3,"R",1539,"R",558,"R",981,"R",1144,"R",421,"R",723,"R",351,"R",148,"R",203,"R",350,"R",148,"R",202,"R",1,"R",0,"R",1,"R",7,"R",2,"R",241,"R",69,"R",430,"R",470,"R",450,"R",510,"R",17,"R",21,"R",16,"R",22,"R",16,"R",19
101648,1,3,1,5,3,3,1,1,3,"R",904,"R",480,"R",424,"R",410,"R",293,"R",117,"R",181,"R",134,"R",47,"R",181,"R",134,"R",47,"A",,"A",,"A",,"R",74,"R",41,"R",131,"R",72,"R",560,"R",650,"R",540,"R",650,"R",18,"R",26,"R",17,"R",26,"R",18,"R",25
101693,1,3,5,3,3,3,2,1,3,"R",1774,"R",476,"R",1298,"R",1137,"R",312,"R",825,"R",253,"R",88,"R",165,"R",250,"R",87,"R",163,"R",3,"R",1,"R",2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101709,1,2,1,2,3,3,5,1,3,"R",4045,"R",1224,"R",2821,"R",3644,"R",1073,"R",2571,"R",493,"R",180,"R",313,"R",478,"R",177,"R",301,"R",15,"R",3,"R",12,"R",29,"R",6,"R",321,"R",68,"R",500,"R",590,"R",470,"R",610,"R",19,"R",26,"R",19,"R",28,"R",17,"R",24
101879,1,2,1,2,3,3,2,1,3,"R",3410,"R",1113,"R",2297,"R",3068,"R",1017,"R",2051,"C",1013,"C",376,"C",637,"C",985,"C",366,"C",619,"C",28,"C",10,"C",18,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101912,1,3,1,2,2,3,2,2,3,"R",881,"R",293,"R",580,"R",633,"R",242,"R",391,"R",284,"R",122,"R",162,"R",280,"R",120,"R",160,"R",4,"R",2,"R",2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
102049,1,2,5,1,1,3,5,3,3,"R",4217,"R",1420,"R",2797,"R",3537,"R",1156,"R",2381,"R",920,"R",326,"R",594,"R",918,"R",326,"R",592,"R",2,"R",0,"R",2,"R",202,"R",22,"R",605,"R",66,"R",570,"R",660,"R",530,"R",630,"R",23,"R",29,"R",23,"R",31,"R",20,"R",27
102094,1,3,1,3,3,3,1,1,3,"R",11817,"R",4223,"R",7594,"R",8364,"R",2911,"R",5453,"R",1778,"R",669,"R",1109,"R",1751,"R",656,"R",1095,"R",27,"R",13,"R",14,"R",130,"R",7,"R",1537,"R",86,"R",500,"R",610,"R",485,"R",605,"R",19,"R",26,"R",19,"R",27,"R",17,"R",25
