UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,ADMCON10,ADMCON11,ADMCON12,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XAPPLCNAN,APPLCNAN,XAPPLCNUN,APPLCNUN,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XADMSSNAN,ADMSSNAN,XADMSSNUN,ADMSSNUN,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLAN,ENRLAN,XENRLUN,ENRLUN,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLFTAN,ENRLFTAN,XENRLFTUN,ENRLFTUN,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XENRLPTAN,ENRLPTAN,XENRLPTUN,ENRLPTUN,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR50,SATVR50,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT50,SATMT50,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM50,ACTCM50,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN50,ACTEN50,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT50,ACTMT50,XACTMT75,ACTMT75
100654,1,3,1,3,3,3,5,1,3,3,3,3,R,15628,R,5247,R,10381,A,,R,0,R,10349,R,3409,R,6940,A,,R,0,R,1956,R,799,R,1157,A,,R,0,R,1944,R,793,R,1151,A,,R,0,R,12,R,6,R,6,A,,R,0,R,462,R,24,R,1312,R,67,R,420,R,480,R,540,R,390,R,460,R,520,R,14,R,17,R,19,R,13,R,15,R,20,R,14,R,16,R,17
100663,1,3,1,1,3,3,5,3,3,3,3,3,R,10919,R,3973,R,6918,A,,R,28,R,9655,R,3329,R,6301,A,,R,25,R,2095,R,694,R,1398,A,,R,3,R,2057,R,679,R,1375,A,,R,3,R,38,R,15,R,23,A,,R,0,R,112,R,5,R,1021,R,49,R,570,R,640,R,700,R,560,R,620,R,700,R,22,R,26,R,30,R,22,R,26,R,33,R,20,R,24,R,27
100706,1,3,1,3,3,3,5,1,3,3,3,3,R,6074,R,2984,R,3090,S,,S,,R,4510,R,2374,R,2136,S,,S,,R,1176,R,771,R,405,S,,S,,R,1162,R,764,R,398,S,,S,,R,14,R,7,R,7,S,,S,,R,68,R,6,R,686,R,58,R,595,R,650,R,700,R,600,R,680,R,740,R,25,R,28,R,31,R,24,R,28,R,33,R,24,R,27,R,29
100724,1,3,1,3,3,3,5,1,3,1,1,5,R,5346,R,1810,R,3490,S,,S,,R,5113,R,1707,R,3362,S,,S,,R,951,R,353,R,589,S,,S,,R,909,R,341,R,560,S,,S,,R,42,R,12,R,29,S,,S,,R,88,R,9,R,312,R,33,R,444,R,489,R,538,R,421,R,477,R,531,R,16,R,18,R,20,R,15,R,18,R,21,R,15,R,17,R,19
100751,1,5,1,1,3,3,5,1,3,5,5,3,R,58418,R,23331,R,35087,A,,R,0,R,44295,R,17444,R,26851,A,,R,0,R,8279,R,3520,R,4759,A,,R,0,R,8215,R,3483,R,4732,A,,R,0,R,64,R,37,R,27,A,,R,0,R,1468,R,18,R,3756,R,45,R,590,R,640,R,700,R,580,R,640,R,700,R,24,R,27,R,31,R,23,R,27,R,33,R,22,R,26,R,29
100830,1,5,1,3,3,3,5,1,3,3,3,3,R,2213,R,711,R,1501,S,,S,,R,2050,R,662,R,1387,S,,S,,R,413,R,163,R,250,S,,S,,R,408,R,162,R,246,S,,S,,R,5,R,1,R,4,S,,S,,R,11,R,3,R,237,R,57,R,500,R,540,R,595,R,500,R,560,R,615,R,18,R,21,R,24,R,18,R,21,R,25,R,16,R,18,R,23
100858,1,5,1,1,5,3,5,1,3,3,3,3,R,48178,R,19626,R,28552,A,,R,0,R,24314,R,10290,R,14024,A,,R,0,R,5935,R,2849,R,3086,A,,R,0,R,5916,R,2840,R,3076,A,,R,0,R,19,R,9,R,10,A,,R,0,R,1024,R,17,R,4211,R,71,R,630,R,660,R,690,R,610,R,650,R,690,R,25,R,28,R,31,R,25,R,28,R,33,R,24,R,26,R,29
100937,1,5,5,5,5,5,5,5,3,5,5,5,R,3987,R,1840,R,2147,S,,S,,R,2071,R,939,R,1132,S,,S,,R,148,R,90,R,58,S,,S,,R,148,R,90,R,58,S,,S,,A,,A,,A,,S,,S,,R,13,R,9,R,60,R,41,R,580,R,610,R,670,R,570,R,620,R,670,R,21,R,24,R,27,R,19,R,24,R,28,R,19,R,23,R,26
101189,1,3,1,3,3,3,5,1,3,3,3,3,R,1786,R,913,R,873,A,,R,0,R,1181,R,616,R,565,A,,R,0,R,240,R,151,R,89,A,,R,0,R,225,R,147,R,78,A,,R,0,R,15,R,4,R,11,A,,R,0,R,28,R,12,R,176,R,73,R,463,R,510,R,585,R,423,R,480,R,550,R,17,R,19,R,23,R,16,R,19,R,23,R,16,R,17,R,21
101365,1,3,1,3,3,3,3,1,1,3,3,3,R,127,R,14,R,113,R,0,R,0,R,120,R,13,R,107,A,,R,0,R,83,R,9,R,74,A,,R,0,R,19,R,1,R,18,A,,R,0,R,64,R,8,R,56,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
101435,1,5,1,5,5,5,5,1,3,3,5,5,R,2581,R,1278,R,1303,A,,R,0,R,1828,R,924,R,904,A,,R,0,R,309,R,183,R,126,A,,R,0,R,309,R,183,R,126,A,,R,0,R,0,R,0,R,0,A,,R,0,R,10,R,3,R,99,R,32,R,498,R,560,R,613,R,513,R,570,R,598,R,20,R,23,R,25,R,19,R,22,R,25,R,17,R,20,R,24
101453,5,5,1,5,1,5,1,1,5,5,1,5,R,6,R,3,R,3,A,,R,0,R,6,R,3,R,3,A,,R,0,R,6,R,3,R,3,A,,R,0,R,5,R,3,R,2,A,,R,0,R,1,R,0,R,1,A,,R,0,R,0,R,0,R,4,R,67,A,,A,,A,,A,,A,,A,,S,,S,,S,,S,,S,,S,,S,,S,,S,
101480,1,3,1,3,3,3,5,1,3,3,3,3,R,12008,R,4376,R,7632,A,,R,0,R,9152,R,3242,R,5910,A,,R,0,R,1815,R,756,R,1059,A,,R,0,R,1798,R,752,R,1046,A,,R,0,R,17,R,4,R,13,A,,R,0,R,109,R,6,R,824,R,45,R,490,R,540,R,620,R,480,R,550,R,640,R,17,R,20,R,24,R,16,R,21,R,25,R,16,R,18,R,23
101587,1,3,1,5,3,3,5,5,3,3,3,3,R,2041,R,804,R,1237,A,,R,0,R,1778,R,643,R,1135,A,,R,0,R,315,R,126,R,189,A,,R,0,R,309,R,125,R,184,A,,R,0,R,6,R,1,R,5,A,,R,0,R,14,R,4,R,310,R,98,R,470,R,520,R,550,R,350,R,385,R,428,R,17,R,19,R,22,R,16,R,20,R,23,R,16,R,17,R,20
101648,1,3,5,5,5,3,1,3,3,3,3,3,R,605,R,421,R,184,A,,R,0,R,358,R,256,R,102,A,,R,0,R,173,R,130,R,43,A,,R,0,R,173,R,130,R,43,A,,R,0,A,,A,,A,,A,,A,,R,51,R,29,R,123,R,71,R,500,R,550,R,630,R,510,R,550,R,610,R,17,R,19,R,23,R,15,R,19,R,23,R,16,R,19,R,24
101693,1,3,5,3,3,3,5,1,3,3,3,3,R,1735,R,574,R,1141,A,,R,20,R,1258,R,412,R,845,A,,R,1,R,288,R,117,R,171,A,,R,0,R,288,R,117,R,171,A,,R,0,R,0,R,0,R,0,A,,R,0,R,3,R,1,R,104,R,36,S,,S,,S,,S,,S,,S,,R,21,R,25,R,27,R,21,R,25,R,28,R,19,R,23,R,26
101709,1,3,1,3,3,3,3,1,3,3,3,3,R,6210,R,1963,R,3787,R,90,R,370,R,3347,R,1066,R,2139,R,53,R,89,R,501,R,222,R,264,R,15,R,0,R,499,R,220,R,264,R,15,R,0,R,2,R,2,R,0,R,0,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
101879,1,3,1,3,3,3,3,1,3,3,3,3,R,4398,R,1459,R,2939,R,0,R,0,R,4243,R,1411,R,2832,A,,R,0,R,1106,R,389,R,717,A,,R,0,R,1083,R,381,R,702,A,,R,0,R,23,R,8,R,15,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
101912,1,3,1,3,5,3,3,1,3,3,5,3,R,2370,R,952,R,1405,S,,S,,R,1197,R,469,R,726,S,,S,,R,290,R,128,R,162,S,,S,,R,286,R,126,R,160,S,,S,,R,4,R,2,R,2,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
102049,1,5,1,5,1,5,5,1,3,5,1,3,R,4541,R,1621,R,2920,A,,R,0,R,3734,R,1297,R,2437,A,,R,0,R,1080,R,373,R,707,A,,R,0,R,1080,R,373,R,707,A,,R,0,R,0,R,0,R,0,A,,R,0,R,289,R,27,R,718,R,66,R,550,R,600,R,650,R,520,R,560,R,610,R,23,R,25,R,29,R,22,R,26,R,30,R,20,R,24,R,27
102094,1,3,1,3,3,3,5,1,3,3,3,3,R,12593,R,4631,R,7930,S,,S,,R,8247,R,3004,R,5229,S,,S,,R,1920,R,700,R,1220,S,,S,,R,1898,R,695,R,1203,S,,S,,R,22,R,5,R,17,S,,S,,R,123,R,6,R,1589,R,83,R,520,R,560,R,610,R,495,R,540,R,590,R,19,R,22,R,26,R,20,R,22,R,26,R,17,R,20,R,25
102234,1,3,5,5,5,3,5,1,3,3,5,3,R,2279,R,923,R,1356,S,,S,,R,1347,R,355,R,992,S,,S,,R,249,R,125,R,124,S,,S,,R,242,R,124,R,118,S,,S,,R,7,R,1,R,6,S,,S,,R,3,R,4,R,97,R,57,S,,S,,S,,S,,S,,S,,R,19,R,21,R,24,R,20,R,23,R,28,R,18,R,22,R,26
102270,1,3,1,3,3,3,3,1,3,3,3,3,R,2440,R,802,R,1638,A,,R,0,R,1811,R,621,R,1190,A,,R,0,R,200,R,99,R,101,A,,R,0,R,170,R,80,R,90,A,,R,0,R,30,R,19,R,11,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
102298,1,5,5,1,5,5,3,1,5,5,5,5,R,8900,R,2891,R,6009,A,,R,0,R,8833,R,2856,R,5977,A,,R,0,R,204,R,113,R,91,A,,R,0,R,204,R,113,R,91,A,,R,0,R,0,R,0,R,0,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
102368,1,3,1,5,3,3,5,1,5,3,3,3,R,7947,R,3040,R,4907,R,0,R,0,R,7360,R,2784,R,4576,A,,R,0,R,1717,R,688,R,1029,A,,R,0,R,1446,R,587,R,859,A,,R,0,R,271,R,101,R,170,A,,R,0,R,109,R,6,R,971,R,57,R,490,R,540,R,590,R,460,R,510,R,570,R,18,R,21,R,25,R,18,R,21,R,25,R,16,R,19,R,23
102377,1,5,1,5,5,5,5,1,3,3,5,3,R,11742,R,3874,R,7868,A,,R,0,R,3690,R,1144,R,2546,A,,R,0,R,859,R,301,R,558,A,,R,0,R,859,R,301,R,558,A,,R,0,A,,A,,A,,A,,A,,R,68,R,8,R,598,R,70,R,495,R,570,R,645,R,500,R,555,R,610,R,18,R,22,R,26,R,17,R,21,R,25,R,18,R,20,R,23
102395,1,3,1,3,3,3,3,1,3,3,3,3,R,119,R,96,R,23,A,,R,0,R,42,R,38,R,4,A,,R,0,R,29,R,28,R,1,A,,R,0,R,8,R,8,R,0,A,,R,0,R,21,R,20,R,1,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
102553,5,3,1,3,3,3,3,1,5,3,3,3,R,4277,R,1825,R,2451,A,,R,1,R,2845,R,1191,R,1653,A,,R,1,R,1306,R,572,R,734,A,,R,0,R,860,R,395,R,465,A,,R,0,R,446,R,177,R,269,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
102632,1,3,1,5,3,5,3,1,3,5,3,3,R,320,R,114,R,206,R,0,R,0,R,200,R,75,R,125,A,,R,0,R,148,R,55,R,93,A,,R,0,R,89,R,32,R,57,A,,R,0,R,59,R,23,R,36,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
