UNITID,PEO1ISTR,PEO2ISTR,PEO3ISTR,PEO4ISTR,PEO5ISTR,PEO6ISTR,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,LEVEL1,LEVEL2,LEVEL3,LEVEL4,LEVEL5,LEVEL6,LEVEL7,LEVEL8,LEVEL9,LEVEL10,LEVEL11,LEVEL12,OPENADMP,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPDATE,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,SATACTDT,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XSATWR25,SATWR25,XSATWR75,SATWR75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75,CREDITS1,CREDITS2,CREDITS3,CREDITS4,SLO3,SLO5,SLO51,SLO52,SLO53,SLO6,SLO7,SLO8,SLO81,SLO82,SLO83,SLO9,YRSCOLL,STUSRV1,STUSRV2,STUSRV3,STUSRV4,STUSRV8,STUSRV9,LIBFAC,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4,PCTPOST,CALSYS,APFEE,XAPPFEEU,APPLFEEU,XAPPFEEG,APPLFEEG,XAPPFEEP,APPLFEEP,FT_UG,FT_FTUG,FT_GD,FT_FP,PT_UG,PT_FTUG,PT_GD,PT_FP,TUITVARY,ROOM,XROOMCAP,ROOMCAP,BOARD,XMEALSWK,MEALSWK,XROOMAMT,ROOMAMT,XBORDAMT,BOARDAMT,XRMBDAMT,RMBRDAMT,ALLONCAM,XENRLM,ENRLM,XENRLW,ENRLW,XENRLT,ENRLT,XAPPLCN,APPLCN,XADMSSN,ADMSSN,XENRLFT,ENRLFT,XENRLPT,ENRLPT  
100636,1,1,-2,0,0,0,1,1,0,-2,1,0,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,0,1,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,2,"A",.,"A",.,"A",.,1,1,2,-2,1,1,2,-2,2,1,"R",10000,1,"R",21,"R",0,"R",0,"R",0,1,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100654,1,1,1,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,1,0,0,0,2,1,2,1,2,3,2,1,1,3,2,"R",3774,"R",5889,"R",1656,"R",2323,"R",549,"R",584,"R",2,"R",2,2,"R",0,"R",0,"R",1048,"R",92,"B",.,"B",.,"B",.,"B",.,"B",.,"B",.,"R",16,"R",20,"R",15,"R",20,"R",15,"R",19,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,200,-2,1,1,"R",10,"R",40,"A",.,1,1,1,2,1,1,1,2,1,1,"R",2843,1,"R",21,"R",2756,"R",2014,"A",.,2,"R",551,"R",586,"R",1137,"R",9663,"R",3979,"R",1133,"R",4
100663,0,1,1,0,0,0,1,2,0,-2,0,1,0,1,1,1,1,1,1,1,0,0,2,1,3,1,2,3,3,1,3,3,2,"R",1674,"R",2547,"R",1489,"R",2216,"R",590,"R",897,"R",22,"R",22,2,"R",150,"R",10,"R",1326,"R",87,"R",500,"R",640,"R",490,"R",650,"B",.,"B",.,"R",21,"R",26,"R",21,"R",27,"R",18,"R",25,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,111,1,111,1,111,1,111,-2,1,1,"R",25,"R",35,"R",70,1,1,1,1,1,1,1,2,1,1,"R",2150,2,"A",.,"R",3870,"R",3684,"A",.,2,"R",612,"R",919,"R",1531,"R",4221,"R",3705,"R",1487,"R",44
100690,0,1,1,0,0,0,4,-2,-2,74,0,0,1,0,1,0,1,0,1,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,1,"R",50,"R",50,"R",50,1,1,1,1,1,1,1,1,2,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100706,0,1,1,1,0,0,1,2,0,-2,0,0,0,0,1,1,1,1,1,0,0,0,2,1,3,1,2,3,3,1,1,3,2,"R",916,"R",893,"R",824,"R",774,"R",432,"R",373,"R",17,"R",16,2,"R",208,"R",25,"R",759,"R",91,"R",480,"R",630,"R",500,"R",640,"B",.,"B",.,"R",21,"R",27,"R",21,"R",28,"R",20,"R",26,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,2,-2,1,146,1,146,1,146,-2,1,1,"R",30,"R",40,"A",.,1,1,1,2,1,1,1,2,1,1,"R",1347,2,"A",.,"R",3940,"R",2880,"A",.,2,"R",449,"R",389,"R",838,"R",1809,"R",1598,"R",805,"R",33
100724,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,1,1,1,0,0,0,2,1,3,1,2,3,3,1,1,4,1,"B",.,"B",.,"B",.,"B",.,"R",538,"R",660,"R",4,"R",11,2,"R",179,"R",13,"R",920,"R",69,"R",360,"R",450,"R",350,"R",460,"B",.,"B",.,"R",14,"R",18,"R",13,"R",18,"R",14,"R",17,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,133,-2,1,1,"R",0,"R",10,"A",.,1,1,1,2,1,1,1,2,1,1,"R",2279,1,"R",19,"R",2180,"R",1420,"A",.,2,"R",542,"R",671,"R",1213,"R",6202,"R",4154,"R",1198,"R",15
100733,1,1,1,1,1,0,1,2,0,-2,1,1,1,0,1,1,1,1,1,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,-2,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100751,1,1,1,1,1,1,1,2,0,-2,0,0,0,0,1,0,1,1,1,1,0,0,2,1,2,1,2,3,3,1,1,3,2,"R",5466,"R",7047,"R",3775,"R",4991,"R",1947,"R",2412,"R",13,"R",6,2,"R",1619,"R",37,"R",3694,"R",84,"R",500,"R",630,"R",500,"R",630,"B",.,"B",.,"R",21,"R",27,"R",21,"R",28,"R",19,"R",26,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,-2,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130,-2,1,1,"R",35,"R",25,"R",35,1,1,1,1,1,1,1,1,1,1,"R",6331,2,"A",.,"R",3400,"R",1980,"A",.,1,"R",1960,"R",2418,"R",4378,"R",12522,"R",8770,"R",4359,"R",19
100760,1,1,-2,1,1,0,1,2,0,-2,1,1,1,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,2,"A",.,"A",.,"A",.,1,1,2,-2,1,1,2,-2,1,2,"A",.,3,"A",.,"A",.,"A",.,"A",.,2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
100812,0,1,0,0,0,0,1,2,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,-2,1,1,"R",30,"A",.,"A",.,1,2,2,2,1,2,2,2,1,1,"R",72,3,"A",.,"R",1100,"A",.,"A",.,-2,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.
