Season,Short Conference Name,Adjusted Tempo,Adjusted Tempo Rank,Raw Tempo,Raw Tempo Rank,Adjusted Offensive Efficiency,Adjusted Offensive Efficiency Rank,Raw Offensive Efficiency,Raw Offensive Efficiency Rank,Adjusted Defensive Efficiency,Adjusted Defensive Efficiency Rank,Raw Defensive Efficiency,Raw Defensive Efficiency Rank,eFGPct,RankeFGPct,TOPct,RankTOPct,ORPct,RankORPct,FTRate,RankFTRate,OffFT,RankOffFT,Off2PtFG,RankOff2PtFG,Off3PtFG,RankOff3PtFG,DefFT,RankDefFT,Def2PtFG,RankDef2PtFG,Def3PtFG,RankDef3PtFG,FG2Pct,RankFG2Pct,FG3Pct,RankFG3Pct,FTPct,RankFTPct,BlockPct,RankBlockPct,OppFG2Pct,RankOppFG2Pct,OppFG3Pct,RankOppFG3Pct,OppFTPct,RankOppFTPct,OppBlockPct,RankOppBlockPct,FG3Rate,RankFG3Rate,OppFG3Rate,RankOppFG3Rate,ARate,RankARate,OppARate,RankOppARate,StlRate,RankStlRate,OppStlRate,RankOppStlRate,AvgHeight,Mapped Conference Name,Mapped ESPN Team Name,Seed,Region,Post-Season Tournament,Post-Season Tournament Sorting Index,Tournament Winner?,Tournament Championship?,Final Four?,Top 12 in AP Top 25 During Week 6?,Pre-Tournament.Tempo,Pre-Tournament.AdjTempo,School Type
2025,ACC,66.0,269,66.6,256,130.1,1,125.0,1,90.8,5,94.4,4,57.9292267365662,3,14.0137442491675,18,34.0163934426229,54,32.8527741371778,183.0,18.2994454713494,223.0,45.2865064695009,310.0,36.4140480591497,65.0,17.0343137254902,293.0,49.5098039215686,190.0,33.4558823529412,104.0,57.919621749409,8.0,38.6274509803922,7.0,78.9893617021277,12.0,10.8510638297872,93.0,42.9787234042553,3.0,31.1288483466363,39.0,72.9020979020979,226.0,9.37746256895193,185.0,44.5609436435125,61.0,38.3471797114123,160.0,58.5473870682019,44.0,50.3981797497156,139.0,0.100868159156095,141.0,0.0796935455927929,20.0,79.78,Atlantic Coast Conference (ACC),Duke,1.0,East,March Madness,1.0,0.0,0.0,0.0,1.0,66.5794,65.7242,Private
2015,SEC,62.4,274,63.8,242,121.3,6,115.5,9,84.4,1,84.7,1,51.5116,75,16.2529,32,39.5012,8,43.8605,31.0,23.6207,45.0,55.3793,54.0,21.0,326.0,20.916,161.0,54.2965,57.0,24.7875,301.0,51.2117,53.0,34.8797,145.0,72.6405,59.0,18.1633,2.0,39.1156,2.0,27.0898,1.0,66.0209,28.0,5.9949,3.0,27.0698,325.0,30.5293,71.0,54.9702,136.0,40.1333,2.0,0.1008,107.0,0.0725,12.0,79.28,Southeastern Conference (SEC),Kentucky,1.0,Midwest,March Madness,1.0,0.0,0.0,1.0,1.0,63.8582,61.9696,Public
2025,B12,61.9,359,62.4,360,123.4,12,116.4,17,86.8,1,92.5,2,51.7197986577181,124,14.1978230004733,19,36.8610511159107,11,27.2231543624161,329.0,16.2932790224033,313.0,50.5091649694501,153.0,33.1975560081466,126.0,21.5260017050298,51.0,44.075021312873,336.0,34.3989769820972,74.0,47.8149100257069,296.0,39.3719806763285,3.0,73.959938366718,117.0,15.8347676419966,4.0,44.4922547332186,5.0,30.1569506726457,14.0,71.8349928876245,165.0,6.94087403598972,12.0,34.7315436241611,287.0,43.427458617332,315.0,45.1401869158879,325.0,58.1424936386768,322.0,0.122259031392964,33.0,0.0780880265026029,17.0,76.81,Big 12 Conference,Houston,1.0,Midwest,March Madness,1.0,0.0,0.0,0.0,0.0,62.4183,61.4245,Public
2021,WCC,73.8,7,74.3,14,126.4,1,121.9,1,89.9,11,93.4,17,61.0178117048346,1,16.1279343153221,40,30.0706357214934,102,35.7251908396947,66.0,17.6228100309172,214.0,57.6434215046376,26.0,24.7337684644452,312.0,15.9192825112108,287.0,54.8878923766816,45.0,29.1928251121076,227.0,63.8994668697639,1.0,36.8098159509202,45.0,73.0769230769231,97.0,6.9071373752878,262.0,46.968534151957,76.0,32.7300150829563,112.0,70.2970297029703,143.0,6.77837014470678,26.0,33.1806615776081,275.0,33.7232960325534,67.0,55.6070435588508,79.0,45.4764776839566,47.0,0.106402475742644,57.0,0.0816869400386442,90.0,78.11,West Coast Conference (WCC),Gonzaga,1.0,West,March Madness,1.0,0.0,1.0,1.0,1.0,75.2784,74.7701,Private
2024,BE,64.6,330,66.0,305,127.5,1,123.0,1,91.1,4,96.4,9,56.9074778200253,7,14.4996805716584,36,36.697965571205,12,31.9391634980989,202.0,17.2604422604423,270.0,51.4127764127764,153.0,31.3267813267813,149.0,20.2681388012618,110.0,52.0504731861199,124.0,27.6813880126183,277.0,59.1101694915254,4.0,35.751840168244,72.0,74.3386243386243,84.0,14.1922825376063,13.0,43.1654676258993,4.0,31.241655540721,37.0,72.4964739069111,221.0,8.33333333333333,102.0,40.1774397972117,103.0,32.8797190517998,44.0,63.5514018691589,5.0,44.7427293064877,41.0,0.0931311075881977,172.0,0.0810164919669687,54.0,78.42,Big East Conference,UConn,1.0,East,March Madness,1.0,1.0,1.0,1.0,1.0,66.2316,64.4531,Public
2025,SEC,70.1,57,70.6,51,128.2,2,120.0,4,91.8,6,98.6,22,54.8605577689243,37,15.7230059625251,79,38.5263157894737,5,34.8605577689243,123.0,18.7850191683869,192.0,46.711884399882,271.0,34.5030964317311,96.0,20.2945402298851,104.0,50.933908045977,122.0,28.7715517241379,288.0,56.0509554140127,29.0,35.5515041020966,82.0,72.8,157.0,11.6840731070496,64.0,46.2793733681462,19.0,29.3729372937294,5.0,71.1586901763224,125.0,8.70488322717622,121.0,43.7051792828685,74.0,37.2388365424007,119.0,52.3688663282572,152.0,45.1844262295082,31.0,0.104820039750167,109.0,0.0924257782932217,132.0,77.96,Southeastern Conference (SEC),Florida,1.0,West,March Madness,1.0,0.0,0.0,0.0,1.0,70.8342,69.5882,Public
2008,B12,66.8,109,68.5,120,120.9,2,116.6,2,85.7,1,89.5,4,56.5912,5,19.1079,61,37.7628,24,36.3515,178.0,18.5043,260.0,56.3758,36.0,25.1198,259.0,19.2917,216.0,46.3333,300.0,34.375,28.0,55.3672,6.0,39.697,14.0,70.696,117.0,16.7407,5.0,41.1852,4.0,32.8162,55.0,68.1885,121.0,6.3402,8.0,29.2943,287.0,38.2998,285.0,61.1014,50.0,52.7076,108.0,0.1299,16.0,0.0914,108.0,76.99,Big 12 Conference,Kansas,1.0,Midwest,March Madness,1.0,1.0,1.0,1.0,1.0,68.8789,66.8546,Public
2025,SEC,68.2,134,69.1,113,127.2,3,119.4,7,92.1,9,100.2,41,54.9274744027304,35,13.6154396810422,7,34.1704718417047,50,33.9163822525597,152.0,18.3317475420235,219.0,49.0326673009832,193.0,32.6355851569933,146.0,23.4647460197119,16.0,50.2653525398029,153.0,26.2699014404852,342.0,55.6916426512968,33.0,35.8786610878661,67.0,72.7044025157233,163.0,15.7968970380818,5.0,46.7559943582511,29.0,29.8449612403101,10.0,72.9952830188679,234.0,7.70893371757925,41.0,40.7849829351536,136.0,35.3102189781022,63.0,54.9283154121864,100.0,40.3803131991051,7.0,0.0989869013022846,160.0,0.0879883567131418,88.0,78.51,Southeastern Conference (SEC),Auburn,1.0,South,March Madness,1.0,0.0,0.0,0.0,1.0,68.8568,67.5825,Public
2002,ACC,74.5,8,76.8,9,121.0,1,115.7,2,86.8,1,89.7,2,56.2924,2,18.5699,26,34.4605,144,41.014,80.0,20.0835,207.0,50.8997,201.0,29.0167,99.0,19.3722,231.0,59.81,3.0,20.8178,314.0,57.4329,2.0,36.2651,86.0,68.9845,164.0,7.2251,215.0,46.2916,100.0,30.2703,17.0,68.8693,152.0,7.4692,83.0,37.5736,52.0,26.1916,14.0,57.1821,123.0,49.5516,43.0,0.1297,26.0,0.0919,79.0,76.73,Atlantic Coast Conference (ACC),Duke,1.0,South,March Madness,1.0,0.0,0.0,0.0,1.0,77.0734,73.9016,Private
2019,ACC,59.4,353,60.6,353,123.4,2,116.6,4,89.2,5,91.8,6,55.1799610894942,19,14.706672830282,12,30.3664921465969,101,29.0856031128405,279.0,16.3964627855564,293.0,48.1208548268239,213.0,35.4826823876197,89.0,16.3696060037523,298.0,49.155722326454,194.0,34.4746716697936,87.0,52.5341914722446,75.0,39.4833948339483,8.0,74.4147157190636,54.0,12.9904097646033,28.0,45.6843940714908,22.0,28.8915094339623,3.0,66.6030534351145,19.0,8.2864038616251,93.0,39.5428015564202,149.0,42.5062656641604,299.0,55.8521560574949,67.0,43.4330299089727,19.0,0.0907341510874123,146.0,0.081273718272611,87.0,77.2,Atlantic Coast Conference (ACC),Virginia,1.0,South,March Madness,1.0,1.0,1.0,1.0,1.0,61.0806,59.2665,Public
2021,B12,67.4,213,69.3,170,125.0,2,119.1,2,91.1,22,94.5,29,56.5482502651113,7,16.5283317164313,54,37.2930866601753,5,26.5111346765642,295.0,14.2340168878166,322.0,49.6984318455971,210.0,36.0675512665862,50.0,18.1771894093686,172.0,53.5641547861507,76.0,28.2586558044807,258.0,53.184165232358,48.0,41.2983425414365,1.0,70.8,186.0,10.2873030583874,85.0,48.7488415199259,130.0,32.8596802841918,118.0,69.4552529182879,92.0,10.5851979345955,291.0,38.3881230116649,159.0,34.2874543239951,78.0,55.288985823337,86.0,51.7580872011252,177.0,0.127914915022816,6.0,0.0800067071491023,71.0,76.66,Big 12 Conference,Baylor,1.0,South,March Madness,1.0,1.0,1.0,1.0,1.0,70.2185,68.3891,Private
2018,BE,68.7,150,70.0,138,127.8,1,122.7,1,94.0,11,99.3,51,59.5081967213115,1,15.0455126758444,14,29.5698924731183,140,29.4262295081967,287.0,16.1420733468091,318.0,43.6615651169506,316.0,40.1963615362403,15.0,17.0644816530103,274.0,53.8653366583541,39.0,29.0701816886356,262.0,58.9703588143526,3.0,40.0690846286701,11.0,77.8551532033426,11.0,10.49902786779,93.0,48.9954633830201,140.0,31.7016317016317,15.0,74.7269890795632,328.0,8.19032761310452,94.0,47.4590163934426,12.0,35.7351103706789,117.0,53.6885245901639,137.0,51.7509727626459,162.0,0.0916891243069108,125.0,0.0683243281514818,13.0,77.33,Big East Conference,Villanova,1.0,East,March Madness,1.0,1.0,1.0,1.0,1.0,70.2475,68.277,Private
2015,B10,58.7,345,59.5,344,129.0,1,121.1,1,95.2,35,97.5,72,54.7518,16,12.3664,1,32.1309,125,36.1702,193.0,20.1379,201.0,50.069,202.0,29.7931,139.0,14.3103,349.0,59.6476,6.0,26.0421,258.0,54.7925,9.0,36.4557,79.0,76.3399,12.0,8.1725,238.0,44.6589,62.0,37.5465,308.0,71.0021,265.0,6.3396,6.0,37.3522,89.0,25.717,6.0,49.7041,248.0,39.9554,1.0,0.0727,325.0,0.0681,3.0,79.17,Big Ten Conference (Big 10),Wisconsin,1.0,West,March Madness,1.0,0.0,1.0,1.0,1.0,59.2656,58.0767,Public
2011,B10,63.8,250,64.2,283,125.0,1,119.9,1,91.5,12,93.7,21,56.3137,3,15.7759,6,35.6536,62,37.0568,193.0,18.7456,284.0,51.2964,184.0,29.958,101.0,13.587,345.0,54.8913,67.0,31.5217,51.0,52.852,12.0,42.2849,1.0,70.118,142.0,9.1261,159.0,46.8677,131.0,33.9678,148.0,73.7101,339.0,8.5921,123.0,32.7343,170.0,34.5648,232.0,57.7188,83.0,50.5967,85.0,0.1103,58.0,0.0629,1.0,77.66,Big Ten Conference (Big 10),Ohio State,1.0,East,March Madness,1.0,0.0,0.0,0.0,1.0,64.4348,64.4098,Public
2010,ACC,64.7,229,66.7,210,121.0,1,115.1,6,87.7,5,91.6,10,50.527,92,16.4169,15,40.3084,7,37.9005,158.0,22.15,112.0,48.5222,270.0,29.3277,107.0,21.1152,166.0,59.4506,11.0,19.4342,342.0,46.9811,201.0,38.491,25.0,75.8621,8.0,9.842,131.0,44.0462,36.0,28.2648,2.0,68.6667,162.0,9.8113,215.0,32.968,154.0,25.3515,11.0,52.7672,189.0,48.6976,56.0,0.0996,148.0,0.0789,17.0,78.99,Atlantic Coast Conference (ACC),Duke,1.0,South,March Madness,1.0,1.0,1.0,1.0,1.0,67.7699,64.9637,Private
2013,BE,65.8,116,66.5,145,117.7,7,110.5,21,84.8,1,87.0,4,50.5432,88,18.3039,77,38.2289,16,39.9826,71.0,21.8939,90.0,54.9362,84.0,23.1699,287.0,20.4168,180.0,51.3824,205.0,28.2008,142.0,50.8075,47.0,33.2851,200.0,70.8696,123.0,12.0603,54.0,43.3597,36.0,31.7529,67.0,65.7534,23.0,8.1366,82.0,30.0304,263.0,33.3174,185.0,55.7252,119.0,49.697,73.0,0.1593,2.0,0.083,35.0,76.69,Big East Conference,Louisville,1.0,Midwest,March Madness,1.0,1.0,1.0,1.0,1.0,66.668,65.2907,Public
2019,WCC,70.2,62,71.4,66,124.5,1,122.6,1,91.6,12,90.8,4,58.9772219740956,1,14.9182383983719,14,31.5338474721508,76,35.328271549799,103.0,18.5630588960839,192.0,54.8874498920752,36.0,26.5494912118409,309.0,16.9583333333333,267.0,53.1666666666667,43.0,29.875,250.0,61.4216701173223,1.0,36.3291139240506,77.0,76.1061946902655,19.0,13.8189244383935,18.0,43.430905377808,6.0,30.3684879288437,20.0,69.6917808219178,114.0,5.79710144927536,2.0,35.283608753908,265.0,34.8847517730496,52.0,56.1597281223449,58.0,41.3911060433295,7.0,0.105260666871761,48.0,0.0761057339612372,38.0,78.21,West Coast Conference (WCC),Gonzaga,1.0,West,March Madness,1.0,0.0,0.0,0.0,1.0,71.5883,69.7687,Private
