Season,Short Conference Name,Adjusted Tempo,Adjusted Tempo Rank,Raw Tempo,Raw Tempo Rank,Adjusted Offensive Efficiency,Adjusted Offensive Efficiency Rank,Raw Offensive Efficiency,Raw Offensive Efficiency Rank,Adjusted Defensive Efficiency,Adjusted Defensive Efficiency Rank,Raw Defensive Efficiency,Raw Defensive Efficiency Rank,eFGPct,RankeFGPct,TOPct,RankTOPct,ORPct,RankORPct,FTRate,RankFTRate,OffFT,RankOffFT,Off2PtFG,RankOff2PtFG,Off3PtFG,RankOff3PtFG,DefFT,RankDefFT,Def2PtFG,RankDef2PtFG,Def3PtFG,RankDef3PtFG,FG2Pct,RankFG2Pct,FG3Pct,RankFG3Pct,FTPct,RankFTPct,BlockPct,RankBlockPct,OppFG2Pct,RankOppFG2Pct,OppFG3Pct,RankOppFG3Pct,OppFTPct,RankOppFTPct,OppBlockPct,RankOppBlockPct,FG3Rate,RankFG3Rate,OppFG3Rate,RankOppFG3Rate,ARate,RankARate,OppARate,RankOppARate,StlRate,RankStlRate,OppStlRate,RankOppStlRate,AvgHeight,Mapped Conference Name,Mapped ESPN Team Name,Seed,Region,Post-Season Tournament,Post-Season Tournament Sorting Index,Tournament Winner?,Tournament Championship?,Final Four?,Top 12 in AP Top 25 During Week 6?,Pre-Tournament.Tempo,Pre-Tournament.AdjTempo
2025,ACC,66.0,269,66.6,256,130.1,1,125.0,1,90.8,5,94.4,4,57.9292267365662,3,14.0137442491675,18,34.0163934426229,54,32.8527741371778,183,18.2994454713494,223,45.2865064695009,310,36.4140480591497,65,17.0343137254902,293,49.5098039215686,190,33.4558823529412,104,57.919621749409,8,38.6274509803922,7,78.9893617021277,12,10.8510638297872,93,42.9787234042553,3,31.1288483466363,39,72.9020979020979,226,9.37746256895193,185,44.5609436435125,61,38.3471797114123,160,58.5473870682019,44,50.3981797497156,139,0.100868159156095,141,0.0796935455927929,20,79.78,Atlantic Coast Conference (ACC),Duke,1,East,March Madness,1,0,0,0,1,66.5794,65.7242
2015,SEC,62.4,274,63.8,242,121.3,6,115.5,9,84.4,1,84.7,1,51.5116,75,16.2529,32,39.5012,8,43.8605,31,23.6207,45,55.3793,54,21.0,326,20.916,161,54.2965,57,24.7875,301,51.2117,53,34.8797,145,72.6405,59,18.1633,2,39.1156,2,27.0898,1,66.0209,28,5.9949,3,27.0698,325,30.5293,71,54.9702,136,40.1333,2,0.1008,107,0.0725,12,79.28,Southeastern Conference (SEC),Kentucky,1,Midwest,March Madness,1,0,0,1,1,63.8582,61.9696
2025,B12,61.9,359,62.4,360,123.4,12,116.4,17,86.8,1,92.5,2,51.7197986577181,124,14.1978230004733,19,36.8610511159107,11,27.2231543624161,329,16.2932790224033,313,50.5091649694501,153,33.1975560081466,126,21.5260017050298,51,44.075021312873,336,34.3989769820972,74,47.8149100257069,296,39.3719806763285,3,73.959938366718,117,15.8347676419966,4,44.4922547332186,5,30.1569506726457,14,71.8349928876245,165,6.94087403598972,12,34.7315436241611,287,43.427458617332,315,45.1401869158879,325,58.1424936386768,322,0.122259031392964,33,0.0780880265026029,17,76.81,Big 12 Conference,Houston,1,Midwest,March Madness,1,0,0,0,0,62.4183,61.4245
2021,WCC,73.8,7,74.3,14,126.4,1,121.9,1,89.9,11,93.4,17,61.0178117048346,1,16.1279343153221,40,30.0706357214934,102,35.7251908396947,66,17.6228100309172,214,57.6434215046376,26,24.7337684644452,312,15.9192825112108,287,54.8878923766816,45,29.1928251121076,227,63.8994668697639,1,36.8098159509202,45,73.0769230769231,97,6.9071373752878,262,46.968534151957,76,32.7300150829563,112,70.2970297029703,143,6.77837014470678,26,33.1806615776081,275,33.7232960325534,67,55.6070435588508,79,45.4764776839566,47,0.106402475742644,57,0.0816869400386442,90,78.11,West Coast Conference (WCC),Gonzaga,1,West,March Madness,1,0,1,1,1,75.2784,74.7701
2024,BE,64.6,330,66.0,305,127.5,1,123.0,1,91.1,4,96.4,9,56.9074778200253,7,14.4996805716584,36,36.697965571205,12,31.9391634980989,202,17.2604422604423,270,51.4127764127764,153,31.3267813267813,149,20.2681388012618,110,52.0504731861199,124,27.6813880126183,277,59.1101694915254,4,35.751840168244,72,74.3386243386243,84,14.1922825376063,13,43.1654676258993,4,31.241655540721,37,72.4964739069111,221,8.33333333333333,102,40.1774397972117,103,32.8797190517998,44,63.5514018691589,5,44.7427293064877,41,0.0931311075881977,172,0.0810164919669687,54,78.42,Big East Conference,UConn,1,East,March Madness,1,1,1,1,1,66.2316,64.4531
2025,SEC,70.1,57,70.6,51,128.2,2,120.0,4,91.8,6,98.6,22,54.8605577689243,37,15.7230059625251,79,38.5263157894737,5,34.8605577689243,123,18.7850191683869,192,46.711884399882,271,34.5030964317311,96,20.2945402298851,104,50.933908045977,122,28.7715517241379,288,56.0509554140127,29,35.5515041020966,82,72.8,157,11.6840731070496,64,46.2793733681462,19,29.3729372937294,5,71.1586901763224,125,8.70488322717622,121,43.7051792828685,74,37.2388365424007,119,52.3688663282572,152,45.1844262295082,31,0.104820039750167,109,0.0924257782932217,132,77.96,Southeastern Conference (SEC),Florida,1,West,March Madness,1,0,0,0,1,70.8342,69.5882
2008,B12,66.8,109,68.5,120,120.9,2,116.6,2,85.7,1,89.5,4,56.5912,5,19.1079,61,37.7628,24,36.3515,178,18.5043,260,56.3758,36,25.1198,259,19.2917,216,46.3333,300,34.375,28,55.3672,6,39.697,14,70.696,117,16.7407,5,41.1852,4,32.8162,55,68.1885,121,6.3402,8,29.2943,287,38.2998,285,61.1014,50,52.7076,108,0.1299,16,0.0914,108,76.99,Big 12 Conference,Kansas,1,Midwest,March Madness,1,1,1,1,1,68.8789,66.8546
2025,SEC,68.2,134,69.1,113,127.2,3,119.4,7,92.1,9,100.2,41,54.9274744027304,35,13.6154396810422,7,34.1704718417047,50,33.9163822525597,152,18.3317475420235,219,49.0326673009832,193,32.6355851569933,146,23.4647460197119,16,50.2653525398029,153,26.2699014404852,342,55.6916426512968,33,35.8786610878661,67,72.7044025157233,163,15.7968970380818,5,46.7559943582511,29,29.8449612403101,10,72.9952830188679,234,7.70893371757925,41,40.7849829351536,136,35.3102189781022,63,54.9283154121864,100,40.3803131991051,7,0.0989869013022846,160,0.0879883567131418,88,78.51,Southeastern Conference (SEC),Auburn,1,South,March Madness,1,0,0,0,1,68.8568,67.5825
2002,ACC,74.5,8,76.8,9,121.0,1,115.7,2,86.8,1,89.7,2,56.2924,2,18.5699,26,34.4605,144,41.014,80,20.0835,207,50.8997,201,29.0167,99,19.3722,231,59.81,3,20.8178,314,57.4329,2,36.2651,86,68.9845,164,7.2251,215,46.2916,100,30.2703,17,68.8693,152,7.4692,83,37.5736,52,26.1916,14,57.1821,123,49.5516,43,0.1297,26,0.0919,79,76.73,Atlantic Coast Conference (ACC),Duke,1,South,March Madness,1,0,0,0,1,77.0734,73.9016
2019,ACC,59.4,353,60.6,353,123.4,2,116.6,4,89.2,5,91.8,6,55.1799610894942,19,14.706672830282,12,30.3664921465969,101,29.0856031128405,279,16.3964627855564,293,48.1208548268239,213,35.4826823876197,89,16.3696060037523,298,49.155722326454,194,34.4746716697936,87,52.5341914722446,75,39.4833948339483,8,74.4147157190636,54,12.9904097646033,28,45.6843940714908,22,28.8915094339623,3,66.6030534351145,19,8.2864038616251,93,39.5428015564202,149,42.5062656641604,299,55.8521560574949,67,43.4330299089727,19,0.0907341510874123,146,0.081273718272611,87,77.2,Atlantic Coast Conference (ACC),Virginia,1,South,March Madness,1,1,1,1,1,61.0806,59.2665
