Mapped ESPN Team Name,public_private
Duke,Private
Kentucky,Public
Houston,Public
Gonzaga,Private
UConn,Public
Florida,Public
Kansas,Public
Auburn,Public
Virginia,Public
Baylor,Private
Villanova,Private
Wisconsin,Public
Ohio State,Public
Louisville,Public
North Carolina,Public
Illinois,Public
Arizona,Public
Memphis,Public
Tennessee,Public
Michigan State,Public
Purdue,Public
Alabama,Public
Cincinnati,Public
Texas Tech,Public
UCLA,Public
Michigan,Public
Indiana,Public
Maryland,Public
Pittsburgh,Public
Georgetown,Private
Saint Joseph's,Private
USC,Private
Syracuse,Private
Oklahoma State,Public
Utah,Public
West Virginia,Public
Texas A&M,Public
Iowa,Public
Iowa State,Public
Wichita State,Public
St. John's,Private
Kansas State,Public
Missouri,Public
Colorado,Public
Dayton,Private
Notre Dame,Private
Oregon,Public
San Diego State,Public
SMU,Private
Wake Forest,Private
Georgia Tech,Public
Loyola Chicago,Private
Washington State,Public
Creighton,Private
Virginia Tech,Public
NC State,Public
Saint Mary's,Private
Davidson,Private
BYU,Private
Ole Miss,Public
Clemson,Public
Arizona State,Public
Marquette,Private
Stanford,Private
Miami,Private
Xavier,Private
Butler,Private
Florida State,Public
California,Public
Washington,Public
LSU,Public
Mississippi State,Public
Arkansas,Public
Drake,Private
Saint Louis,Private
Georgia,Public
Southern Illinois,Public
Northern Iowa,Public
Vanderbilt,Private
South Carolina,Public
Wofford,Private
Nevada,Public
Kent State,Public
VCU,Public
Air Force,Public
Temple,Public
Utah State,Public
Buffalo,Public
Minnesota,Public
Seton Hall,Private
New Mexico,Public
Florida Atlantic,Public
Penn State,Public
Colorado State,Public
St. Bonaventure,Private
Boston College,Private
Belmont,Private
TCU,Private
Providence,Private
George Mason,Public
UC San Diego,Public
Rutgers,Public
UNLV,Public
Harvard,Private
Old Dominion,Public
Missouri State,Public
Nebraska,Public
San Francisco,Private
Northwestern,Private
North Texas,Public
Indiana State,Public
UTEP,Public
Bradley,Private
UCF,Public
Oregon State,Public
Western Michigan,Public
Rhode Island,Public
Akron,Public
Richmond,Private
Boise State,Public
Cornell,Private
Charlotte,Public
Stephen F. Austin,Public
Tulsa,Private
Valparaiso,Private
Murray State,Public
Long Beach State,Public
DePaul,Private
Louisiana Tech,Public
Middle Tennessee,Public
Winthrop,Public
Grand Canyon,Private
UNC Wilmington,Public
George Washington,Private
Milwaukee,Public
Western Kentucky,Public
Liberty,Private
UAB,Public
Lipscomb,Private
Yale,Private
Denver,Private
McNeese,Public
Santa Clara,Private
Illinois State,Public
Pacific,Private
